Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,Total Length of Fwd Packets,Fwd Packets/s,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,act_data_pkt_fwd,Label
1.502603530883789,596.2983458936757,5.324092374050675,8,896,5.324092374050675,0,8,501,8,ATTACK
2.782444477081299,301.89281652122486,5.031546942020414,14,840,5.031546942020414,0,14,255,14,ATTACK
4.324230909347534,314.50679404287524,4.625099912395224,20,1360,4.625099912395224,0,20,53248,0,ATTACK
3.9407317638397217,351.7113275046984,5.328959507646945,21,1386,5.328959507646945,0,21,53248,0,ATTACK
4.986041307449341,7328.459141605548,122.1409856934258,609,36540,122.1409856934258,609,0,512,609,ATTACK
3.0764307975769043,193.08089116382968,2.925468047936813,9,594,2.925468047936813,0,9,53248,0,ATTACK
3.08941912651062,56.32126716213035,0.9710563303815576,3,174,0.9710563303815576,3,3,65535,0,ATTACK
3.4750819206237797,249.20275831786796,3.7409190047716896,13,866,3.7409190047716896,1,13,65535,0,ATTACK
3.67910385131836,251.14811577523056,3.805274481442888,14,924,3.805274481442888,0,14,53248,0,ATTACK
1.8351655006408687,359.6405881483264,5.449099820429187,10,660,5.449099820429187,0,10,53248,0,ATTACK
1.0783884525299072,4896.194861520523,81.60324769200871,88,5280,81.60324769200871,88,0,512,88,ATTACK
3.19113826751709,391.7097584657716,3.44704587449879,11,1250,3.44704587449879,0,11,570,11,ATTACK
4.651343822479248,326.3572975757529,4.944807539026559,23,1518,4.944807539026559,0,23,53248,0,ATTACK
3.497514247894287,358.5403549835381,5.432429620962699,19,1254,5.432429620962699,0,19,53248,0,ATTACK
4.874819755554199,5821.753710517157,88.20838955329026,430,28380,88.20838955329026,0,430,53248,0,ATTACK
3.081861734390259,56.45937910138775,0.973437570713582,3,174,0.973437570713582,3,3,65535,0,ATTACK
4.460012197494507,329.59551115707694,5.156936569124333,23,1470,5.156936569124333,0,23,252,23,ATTACK
3.880124092102051,1083.985949975483,9.53577749621799,37,4206,9.53577749621799,0,37,615,37,ATTACK
2.738698720932007,216.89132705982928,3.286232228179232,9,594,3.286232228179232,0,9,53248,0,ATTACK
0.5445635318756104,727.1878795043049,11.01799817430765,6,396,11.01799817430765,0,6,53248,0,ATTACK
4.71703314781189,76.31915840298785,1.271985973383131,6,360,1.271985973383131,0,6,254,6,ATTACK
3.0314056873321533,57.399113793024526,0.9896398929831816,3,174,0.9896398929831816,3,3,65535,0,ATTACK
2.9414021968841557,112.19138965408096,1.359895632170678,4,330,1.359895632170678,0,4,255,4,ATTACK
4.335747241973877,167.44518522013377,2.537048260911118,11,726,2.537048260911118,0,11,53248,0,ATTACK
4.182036399841309,192.2508374222923,2.8694154839148105,12,804,2.8694154839148105,0,12,53248,0,ATTACK
4.9673011302948,318.8854386820701,4.8315975557889415,24,1584,4.8315975557889415,0,24,53248,0,ATTACK
0.2695357799530029,37419.89283114333,29.680660583893182,8,10086,29.680660583893182,1,8,65535,7,ATTACK
4.162553548812866,174.41217067514978,2.642608646593178,11,726,2.642608646593178,0,11,53248,0,ATTACK
2.914083242416382,59.710030745627485,1.0294832887177152,3,174,1.0294832887177152,3,3,65535,0,ATTACK
4.89417028427124,94411.91727328784,22.475719807607675,110,462068,22.475719807607675,0,110,502,110,ATTACK
4.791034936904907,206.63593838026927,3.130847551216202,15,990,3.130847551216202,0,15,53248,0,ATTACK
3.39817476272583,51.20395863938049,0.882826873092767,3,174,0.882826873092767,3,3,65535,0,ATTACK
4.872924327850342,365.6941663992795,5.540820703019386,27,1782,5.540820703019386,0,27,53248,0,ATTACK
4.810858011245728,192.06553131272705,2.9100838077685918,14,924,2.9100838077685918,0,14,53248,0,ATTACK
3.581938505172729,577261.1665482208,25.684416375976717,92,2067714,25.684416375976717,2,90,64240,75,ATTACK
3.4009602069854736,155.25027282456975,2.3522768609783298,8,528,2.3522768609783298,0,8,53248,0,ATTACK
4.021970272064209,196.9184122272289,2.983612306473165,12,792,2.983612306473165,0,12,53248,0,ATTACK
1.114783763885498,236.8172272978278,3.588139807542845,4,264,3.588139807542845,0,4,53248,0,ATTACK
3.0028295516967773,57.94534688180342,0.9990577048586796,3,174,0.9990577048586796,3,3,65535,0,ATTACK
4.428346872329712,134.13583378293538,2.0323611179232635,9,594,2.0323611179232635,0,9,53248,0,ATTACK
4.568691730499268,260.0306761931988,3.9398587301999815,18,1188,3.9398587301999815,0,18,53248,0,ATTACK
4.258411884307861,1327.7250189994174,11.506637058891307,49,5654,11.506637058891307,0,49,570,49,ATTACK
0.4067027568817138,506.51242587940806,7.376394551641865,3,206,7.376394551641865,1,3,65535,0,ATTACK
4.58375883102417,302.3719290419823,4.581392864272459,21,1386,4.581392864272459,0,21,53248,0,ATTACK
3.410823106765747,193.5016796065491,2.931843630402259,10,660,2.931843630402259,0,10,53238,0,ATTACK
4.644529819488525,255.78477180082515,3.8755268454670473,18,1188,3.8755268454670473,0,18,53248,0,ATTACK
3.486845016479492,229.43377070648336,3.4415065605972504,12,800,3.4415065605972504,1,12,65535,0,ATTACK
3.7864065170288086,139.446199879859,2.112821210300894,8,528,2.112821210300894,0,8,53248,0,ATTACK
4.373542070388794,304.5586342974379,4.572952466928497,20,1332,4.572952466928497,0,20,53248,0,ATTACK
2.588343858718872,248.8077454742642,2.318084585163952,6,644,2.318084585163952,0,6,547,6,ATTACK
0.2192914485931396,1030.5919425946563,13.680424016743226,3,226,13.680424016743226,0,3,53248,0,ATTACK
4.481328964233398,338.7388009484543,5.13240607497658,23,1518,5.13240607497658,0,23,53248,0,ATTACK
0.7200257778167725,458.3169244309698,6.944195824711665,5,330,6.944195824711665,0,5,53248,0,ATTACK
4.450451850891113,328.9553620733732,4.943318282523368,22,1464,4.943318282523368,0,22,53248,0,ATTACK
4.833553314208984,317.3648660273525,4.758404119054177,23,1534,4.758404119054177,2,23,65535,0,ATTACK
4.970211029052734,254.717554767747,3.8227753085206895,19,1266,3.8227753085206895,0,19,53248,0,ATTACK
4.390149116516113,198.17094520251857,2.9611750432560244,13,870,2.9611750432560244,0,13,53248,0,ATTACK
0.3507156372070312,10966.14918749592,22.81050273010072,8,3846,22.81050273010072,1,8,65535,7,ATTACK
2.795506715774536,254.69443374337592,1.4308676052998648,4,712,1.4308676052998648,0,4,501,4,ATTACK
3.5892720222473145,257.4338178529766,3.900512391711766,14,924,3.900512391711766,0,14,53248,0,ATTACK
4.494300127029419,352.4464221856431,5.340097305843077,24,1584,5.340097305843077,0,24,53248,0,ATTACK
4.360078811645508,129268.305539479,31.421450372429337,137,563620,31.421450372429337,7,130,64240,129,ATTACK
3.403414726257324,132.22014834931892,2.0567578632116272,7,450,2.0567578632116272,0,6,53248,0,ATTACK
1.2363331317901611,166.6217580869326,2.4265304575766886,3,206,2.4265304575766886,1,3,65535,0,ATTACK
2.5934572219848637,67.09191056825365,1.156757078762994,3,174,1.156757078762994,3,3,65535,0,ATTACK
0.3111724853515625,1021.9412543519836,16.068258716226158,5,318,16.068258716226158,0,4,53248,0,ATTACK
2.8591177463531494,210.5544623924148,3.1478241885909197,9,602,3.1478241885909197,1,9,65535,0,ATTACK
