Flow Duration,Flow Bytes/s,Flow Packets/s,Total Fwd Packets,SYN Flag Count,ACK Flag Count,Init_Win_bytes_forward,Label,Source_File
0.0342676639556884,9104.793381989715,87.54609021143959,3,0,3,255,NORMAL,normal_browsing.csv
0.024442434310913,11905.524478389372,163.64982100878862,4,0,4,151,NORMAL,normal_streaming.csv
2.303091764450073,9092.12577771516,151.53542962858597,349,349,0,512,ATTACK,
0.2555527687072754,16458.440349819848,23.47851690416526,6,0,6,1263,NORMAL,normal_browsing.csv
3.953612804412842,12017.86880773126,4.2998646658128425,17,0,17,16,NORMAL,normal_download.csv
0.8381969928741455,24018.220264627937,50.10755270784688,42,5,37,65535,NORMAL,normal_browsing.csv
3.6355390548706055,9917.648925183474,3.8508732236678673,14,0,14,16,NORMAL,normal_download.csv
4.780888319015503,22886.541725896608,8.157479823337729,39,0,39,16,NORMAL,normal_download.csv
3.997670412063599,299.17423817403306,4.502622313656016,18,1,18,65535,ATTACK,
0.1928217411041259,27232.40631441244,46.67523458954712,9,1,9,65535,NORMAL,normal_mixed.csv
4.462986469268799,221.82455779710185,3.3609781484409367,15,0,15,53248,ATTACK,
4.538880825042725,35603.49042618427,14.100392247993767,64,0,64,16,NORMAL,normal_download.csv
4.964228391647339,48468.76110793837,17.928264571740637,89,0,89,16,NORMAL,normal_download.csv
0.2075703144073486,5463.2089527723565,38.541156633314685,8,1,7,65535,NORMAL,normal_gaming.csv
4.796807289123535,9246.567003133514,23.557335783786964,113,0,113,1122,NORMAL,normal_gaming.csv
3.213270664215088,326.7698584166689,4.979350223492098,16,0,15,53248,ATTACK,
0.5993659496307373,5102.058269883366,6.67371912345764,4,0,4,1053,NORMAL,normal_streaming.csv
3.032683849334717,57.37492222876136,0.9892227970476096,3,3,3,65535,ATTACK,
0.2138473987579345,9834.115412273492,79.4959400897049,17,0,17,4094,NORMAL,normal_browsing.csv
0.1157381534576416,159057.31558727013,77.76173829569402,9,0,9,1053,NORMAL,normal_streaming.csv
2.589065790176392,16515.609669805566,36.69277171729488,95,7,88,255,NORMAL,normal_streaming.csv
0.1204488277435302,38796.55856800983,66.41824706699737,8,1,8,65535,NORMAL,normal_browsing.csv
0.1567890644073486,117795.20510445986,63.77995836507654,10,1,10,65535,NORMAL,normal_browsing.csv
4.618259906768799,328.69522951168864,4.980230750177101,23,0,23,53248,ATTACK,
4.476833820343018,221.13842946355905,3.3505822645993795,15,0,15,53248,ATTACK,
0.6500515937805176,7574.783366599255,13.845054894271586,9,0,9,253,NORMAL,normal_browsing.csv
4.620253801345825,299.98352029844654,4.545204853006766,21,0,21,53248,ATTACK,
3.5782270431518555,3626.935866140127,1.3973400624673011,5,0,5,16,NORMAL,normal_download.csv
2.354738473892212,520.6522990103061,2.123378054691297,5,0,5,252,NORMAL,normal_gaming.csv
4.621826648712158,202.51733159676385,3.029105387131084,14,0,14,53248,ATTACK,
4.389721155166626,17058.486713185684,6.150732369007418,27,0,27,16,NORMAL,normal_download.csv
0.1081068515777587,72576.34354799938,111.00129015753154,12,1,12,65535,NORMAL,normal_browsing.csv
0.5801277160644531,2799.383575425607,10.342550155513326,6,1,5,65535,NORMAL,normal_browsing.csv
4.581523418426514,5653.577998930284,1.964412091358681,9,0,9,16,NORMAL,normal_download.csv
